id_commande;date;heure_de_depart;pickup_lng;pickup_lat;dropoff_lng;dropoff_lat;nbPax;tstype
cmd241;01/01/2013;00:10;-73.958733;40.763892999999996;-73.96888;40.760940999999995;1;pickUpMinDateTime
cmd242;01/01/2013;00:10;-73.99880999999999;40.763844;-73.977127;40.754397999999995;1;pickUpMinDateTime
cmd243;01/01/2013;00:10;-73.93804899999999;40.796684;-73.94162;40.78764;4;pickUpMinDateTime
cmd244;01/01/2013;00:10;-73.958191;40.710403;-73.958191;40.710403;1;pickUpMinDateTime
cmd245;01/01/2013;00:10;-73.98673199999999;40.766467999999996;-74.01346600000001;40.715576;1;pickUpMinDateTime
cmd246;01/01/2013;00:10;-74.017052;40.709034;-73.98278;40.777096;1;pickUpMinDateTime
cmd247;01/01/2013;00:10;-73.974052;40.787247;-73.975174;40.733067;1;pickUpMinDateTime
cmd248;01/01/2013;00:10;-73.977859;40.739222999999996;-73.970985;40.756725;1;pickUpMinDateTime
cmd249;01/01/2013;00:10;-74.005783;40.712154;-73.98129300000001;40.667625;1;pickUpMinDateTime
cmd250;01/01/2013;00:10;-74.001305;40.744045;-73.982765;40.739407;4;pickUpMinDateTime
cmd251;01/01/2013;00:10;-73.973656;40.762753000000004;-73.973656;40.762753000000004;2;pickUpMinDateTime
cmd252;01/01/2013;00:10;-73.97796600000001;40.753192999999996;-73.97077900000001;40.761616;1;pickUpMinDateTime
cmd253;01/01/2013;00:10;-73.946449;40.776863;-73.963127;40.761738;1;pickUpMinDateTime
cmd254;01/01/2013;00:10;-73.995476;40.764736;-73.979828;40.752491;1;pickUpMinDateTime
